name,date,open,high,low,close,volume
GS,2018-04-27 15:22:00,240.0900,240.1200,240.0500,240.0500,1802
GS,2018-04-27 15:21:00,240.1000,240.1100,240.0100,240.0600,3453
GS,2018-04-27 15:20:00,240.0800,240.1234,240.0800,240.1234,1000
GS,2018-04-27 15:19:00,240.0400,240.0800,240.0300,240.0800,1100
GS,2018-04-27 15:18:00,240.0600,240.0900,239.9601,240.0400,6260
GS,2018-04-27 15:17:00,240.1100,240.1777,240.0300,240.0600,6458
GS,2018-04-27 15:16:00,240.0500,240.0900,240.0250,240.0500,1910
GS,2018-04-27 15:15:00,239.9900,240.0250,239.9899,240.0000,2813
GS,2018-04-27 15:14:00,240.0300,240.0400,239.9900,239.9900,1800
GS,2018-04-27 15:13:00,239.9500,240.0000,239.9300,239.9700,2422
GS,2018-04-27 15:12:00,240.0100,240.0100,239.9300,239.9481,1443
GS,2018-04-27 15:11:00,240.0000,240.0266,239.9600,239.9600,2598
GS,2018-04-27 15:10:00,239.9500,239.9500,239.8700,239.9400,3686
GS,2018-04-27 15:09:00,240.0300,240.1100,240.0000,240.0000,2477
GS,2018-04-27 15:08:00,240.0750,240.1300,240.0400,240.1300,4530
GS,2018-04-27 15:07:00,240.1700,240.1700,240.0200,240.0800,2790
GS,2018-04-27 15:06:00,240.2400,240.2600,240.1450,240.1450,5984
GS,2018-04-27 15:05:00,240.2800,240.3400,240.2500,240.2700,3336
GS,2018-04-27 15:04:00,240.1500,240.2800,240.1500,240.2800,3714
GS,2018-04-27 15:03:00,240.0750,240.2200,240.0700,240.1501,5917
GS,2018-04-27 15:02:00,240.1100,240.1100,240.0300,240.0700,3879
GS,2018-04-27 15:01:00,240.0300,240.1000,239.9500,240.0500,3048
GS,2018-04-27 15:00:00,239.9100,240.0500,239.9100,240.0250,3106
GS,2018-04-27 14:59:00,240.0700,240.0700,239.9300,239.9300,3300
GS,2018-04-27 14:58:00,240.0850,240.1300,240.0700,240.0700,2643
GS,2018-04-27 14:57:00,240.0602,240.1300,240.0500,240.0800,1671
GS,2018-04-27 14:56:00,240.0500,240.0500,239.9614,240.0200,2610
GS,2018-04-27 14:55:00,239.8800,240.1000,239.8800,240.0550,2000
GS,2018-04-27 14:54:00,239.9534,239.9534,239.8600,239.8900,1544
GS,2018-04-27 14:53:00,240.0206,240.0650,239.9400,239.9400,2953
GS,2018-04-27 14:52:00,239.9800,240.0200,239.9800,240.0000,1400
GS,2018-04-27 14:51:00,240.0350,240.1000,240.0006,240.0006,2300
GS,2018-04-27 14:50:00,240.0650,240.0900,240.0000,240.0350,2689
GS,2018-04-27 14:49:00,240.1200,240.1200,240.0600,240.1000,2470
GS,2018-04-27 14:48:00,240.1300,240.1550,240.1200,240.1200,1374
GS,2018-04-27 14:47:00,240.1100,240.1400,240.1100,240.1350,1000
GS,2018-04-27 14:46:00,240.1364,240.1700,240.1300,240.1300,1750
GS,2018-04-27 14:45:00,240.0050,240.0900,240.0000,240.0900,2470
GS,2018-04-27 14:44:00,240.0200,240.0300,240.0000,240.0000,1976
GS,2018-04-27 14:43:00,240.0000,240.0050,239.9800,239.9800,789
GS,2018-04-27 14:42:00,240.0400,240.0400,239.9600,240.0000,1906
GS,2018-04-27 14:41:00,240.0600,240.1500,240.0300,240.0900,3202
GS,2018-04-27 14:40:00,240.0300,240.1000,240.0300,240.0700,1000
GS,2018-04-27 14:39:00,240.0300,240.0550,240.0200,240.0500,2216
GS,2018-04-27 14:38:00,240.0750,240.1150,240.0300,240.0300,3764
GS,2018-04-27 14:37:00,240.0600,240.1000,240.0550,240.0800,3100
GS,2018-04-27 14:36:00,240.1000,240.1100,240.0201,240.1000,6907
GS,2018-04-27 14:35:00,240.1200,240.1400,240.0550,240.0900,1900
GS,2018-04-27 14:34:00,240.1600,240.1600,240.0750,240.1200,938
GS,2018-04-27 14:33:00,240.1300,240.2400,240.1300,240.2400,1900
GS,2018-04-27 14:32:00,240.0800,240.1200,240.0600,240.1150,1198
GS,2018-04-27 14:31:00,239.9700,240.0250,239.8201,240.0250,2014
GS,2018-04-27 14:30:00,240.0300,240.0300,240.0000,240.0000,223
GS,2018-04-27 14:29:00,240.0542,240.0550,239.9900,239.9900,1200
GS,2018-04-27 14:28:00,239.9900,240.0799,239.9900,240.0250,4004
GS,2018-04-27 14:27:00,240.0900,240.1100,240.0500,240.0500,3087
GS,2018-04-27 14:26:00,240.1100,240.1100,240.0800,240.0805,600
GS,2018-04-27 14:25:00,240.0800,240.0900,240.0200,240.0900,2055
GS,2018-04-27 14:24:00,240.0900,240.1300,240.0594,240.0800,1685
GS,2018-04-27 14:23:00,240.1600,240.1710,240.0400,240.0750,3765
GS,2018-04-27 14:22:00,240.0300,240.1600,240.0300,240.1600,1510
GS,2018-04-27 14:21:00,240.1300,240.1300,239.9900,240.0000,4423
GS,2018-04-27 14:20:00,240.0800,240.1300,240.0800,240.1010,1270
